time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years
864000,10,-2.4733491769748e-05,2.9806242415499e-05,-5.0727506457514e-06,-1.3554587431163e-08,1.4945336729243e-08,-1.3907492980801e-09,-16.67089125318,22.152408386873,-0.10142993074069,0.027777777777778
1728000,20,-4.5648019076695e-05,5.4709118185109e-05,-9.0610991084143e-06,-2.9491036741689e-08,3.2944450637916e-08,-3.4534138962265e-09,-16.651631335677,24.444260015148,0.14906025331619,0.055555555555556
2592000,30,-6.3474159611571e-05,7.5729734458182e-05,-1.2255574846611e-05,-4.7576702670274e-08,5.3740360966321e-08,-6.1636582960468e-09,-16.635884156874,26.317353832154,0.34920982248043,0.083333333333333
3456000,40,-7.9327431480181e-05,9.4309102533172e-05,-1.4981671052991e-05,-6.7912173758101e-08,7.7504245830665e-08,-9.5920720725643e-09,-16.620713519745,28.121704195569,0.53244549167675,0.11111111111111
4320000,50,-9.3846336767337e-05,0.00011126105941169,-1.7414722644357e-05,-9.0614789304195e-08,1.0442893112995e-07,-1.3814141825754e-08,-16.605942988345,29.878509073058,0.70380522128308,0.13888888888889
5184000,60,-0.00010742065706092,0.00012707776276961,-1.9657105708683e-05,-1.1581166891996e-07,1.3472092800471e-07,-1.890925908475e-08,-16.591476319491,31.599258375047,0.86596758610725,0.16666666666667
6048000,70,-0.00012030176295326,0.00014207408981786,-2.1772326864607e-05,-1.436371932177e-07,1.6859740740611e-07,-2.4960214188409e-08,-16.577251565565,33.291332689096,1.0208676688918,0.19444444444444
6912000,80,-0.00013265850513705,0.0001564600251209,-2.3801519983851e-05,-1.7423134142824e-07,2.0628414754428e-07,-3.2052806116042e-08,-16.563227329014,34.959643397941,1.16994496338,0.22222222222222
7776000,90,-0.00014460786296081,0.00017038000952664,-2.5772146565826e-05,-2.0773852939265e-07,2.4801405667106e-07,-4.0275527278406e-08,-16.549375244101,36.607552390568,1.3142899323421,0.25
8640000,100,-0.00015623284945087,0.00018393576462389,-2.770291517302e-05,-2.4430676377601e-07,2.9402606499132e-07,-4.9719301215309e-08,-16.535675546454,38.237418908028,1.4547389025518,0.27777777777778
9504000,110,-0.00016759351723624,0.00019720024373032,-2.9606726494075e-05,-2.8408700362763e-07,3.4456426256953e-07,-6.0477258941896e-08,-16.522113777936,39.850937035097,1.5919390305319,0.30555555555556
10368000,120,-0.00017873400768236,0.0002102265290453,-3.1492521362938e-05,-3.2723266285718e-07,3.998772061907e-07,-7.2644543333519e-08,-16.508679378476,41.449349337405,1.7263943363235,0.33333333333333
11232000,130,-0.00018968722066035,0.00022305370712212,-3.3366486461766e-05,-3.7389921507751e-07,4.602173513033e-07,-8.6318136225795e-08,-16.495364390471,43.033588014921,1.8584999371759,0.36111111111111
12096000,140,-0.00020047798575945,0.00023571085063143,-3.5232864871979e-05,-4.2424386517628e-07,5.2584056520694e-07,-1.0159670003066e-07,-16.482162807986,44.604365420333,1.9885671302802,0.38888888888889
12960000,150,-0.00021112526717446,0.00024821978263554,-3.7094515461079e-05,-4.7842527429267e-07,5.9700570699527e-07,-1.185804327026e-07,-16.469069823877,46.162237769431,2.1168427562817,0.41666666666667
13824000,160,-0.00022164371981632,0.00026059702576088,-3.8953305944559e-05,-5.3660332252342e-07,6.7397425429543e-07,-1.3737093177201e-07,-16.456081615806,47.707647703322,2.2435239050198,0.44444444444444
14688000,170,-0.00023204480314735,0.00027285519636515,-4.0810393217803e-05,-5.9893889957388e-07,7.5700996541116e-07,-1.5807106583728e-07,-16.443195072058,49.240953933224,2.3687689420489,0.47222222222222
15552000,180,-0.00024233759015514,0.0002850040160227,-4.2666425867558e-05,-6.6559372024356e-07,8.4637857368114e-07,-1.8078485343758e-07,-16.430407614209,50.762453363959,2.4927062105453,0.5
15559200,180.08333333333,-0.00024233759015514,0.0002850040160227,-4.2666425867558e-05,-6.6559372024356e-07,8.4637857368114e-07,-1.8078485343758e-07,-10.418311987389,103.53389614797,62.26133213436,0.50023148148148
15566400,180.16666666667,-0.00024233759015514,0.0002850040160227,-4.2666425867558e-05,-6.6559372024356e-07,8.4637857368114e-07,-1.8078485343758e-07,-4.7293307435524,120.02874642961,86.036660010002,0.50046296296296
15573600,180.25,-0.00024233759015514,0.0002850040160227,-4.2666425867558e-05,-6.6559372024356e-07,8.4637857368114e-07,-1.8078485343758e-07,0.43126212892286,68.588786055468,42.441144801394,0.50069444444444
15663600,181.29166666667,-0.00024233759015514,0.0002850040160227,-4.2666425867558e-05,-6.6559372024356e-07,8.4637857368114e-07,-1.8078485343758e-07,0.4241797116184,67.156132223122,41.967075884493,0.50358796296296
15667200,181.33333333333,-0.00024233759015514,0.0002850040160227,-4.2666425867558e-05,-6.6559372024356e-07,8.4637857368114e-07,-1.8078485343758e-07,-4.7402146301415,116.1784543953,84.655497355462,0.5037037037037
15670800,181.375,-0.00024233759015514,0.0002850040160227,-4.2666425867558e-05,-6.6559372024356e-07,8.4637857368114e-07,-1.8078485343758e-07,-10.454959820405,100.03025644907,61.216730951572,0.50381944444444
15674400,181.41666666667,-0.00024236851306534,0.00028504148310169,-4.2672970036352e-05,-6.65841565157e-07,8.4671234260906e-07,-1.8087077745206e-07,-16.448209408143,48.259071710029,1.5657988226019,0.50393518518519
16538400,191.41666666667,-0.00024904430666377,0.00029323000475463,-4.4185698090862e-05,-7.3143649558297e-07,9.3581785222196e-07,-2.0438135663899e-07,-16.433020509624,50.449934633797,1.7612060140102,0.53171296296296
17402400,201.41666666667,-0.0002593013554655,0.00030537982223997,-4.6078466774468e-05,-8.062589605988e-07,1.0372755002175e-06,-2.3101653961871e-07,-16.407661937717,53.468357669142,2.6929075959332,0.55949074074074
18266400,211.41666666667,-0.00026945162808538,0.00031741417091527,-4.7962542829888e-05,-8.8588845429533e-07,1.1458620806306e-06,-2.5997362633531e-07,-16.395061670723,54.967764176251,2.8170864531338,0.58726851851852
19130400,221.41666666667,-0.00027948499177429,0.00032932211130916,-4.9837119534866e-05,-9.7046260316809e-07,1.2618137435493e-06,-2.9135114038117e-07,-16.382620697023,56.447927912689,2.9377981609671,0.6150462962963
19994400,231.41666666667,-0.00028941240419824,0.00034111640708139,-5.1704002883152e-05,-1.0601439470391e-06,1.3854008357113e-06,-3.2525688867213e-07,-16.370274030612,57.916818754531,3.0573678976009,0.64282407407407
20858400,241.41666666667,-0.00029924250245938,0.00035280692312324,-5.356442066386e-05,-1.1550953683872e-06,1.5168946693095e-06,-3.6179930092227e-07,-16.3580194194,59.374702591767,3.175895547591,0.67060185185185
21722400,251.41666666667,-0.00030898209862147,0.00036440126634446,-5.5419167722989e-05,-1.2554797881648e-06,1.6565670548544e-06,-4.0108726668966e-07,-16.345855307022,60.821766012047,3.2934547180166,0.69837962962963
22586400,261.41666666667,-0.00031863664456629,0.00037590537414114,-5.7268729574847e-05,-1.3614600593831e-06,1.8046901091728e-06,-4.4323004978965e-07,-16.333780015752,62.258178103613,3.4101088884212,0.72615740740741
23450400,271.41666666667,-0.00032821055983228,0.00038732392904754,-5.9113369215264e-05,-1.4731988256194e-06,1.9615360143533e-06,-4.8833718873386e-07,-16.321792468393,63.68408290222,3.5259101881181,0.75393518518519
24314400,281.41666666667,-0.00033770748406151,0.00039866067702408,-6.095319296257e-05,-1.5908584205498e-06,2.1273768340941e-06,-5.3651841354424e-07,-16.309891497562,65.099612340148,3.6409040373877,0.78171296296296
25178400,291.41666666667,-0.00034713045864266,0.00040991865621067,-6.2788197568016e-05,-1.7146007623988e-06,2.3024843223312e-06,-5.8788355993242e-07,-16.298076033803,66.5048857473,3.7551299776679,0.80949074074074
26042400,301.41666666667,-0.00035648206617282,0.00042110037158942,-6.46183054166e-05,-1.8445872622557e-06,2.4871297524285e-06,-6.4254249017279e-07,-16.286345167718,67.900013759078,3.8686229441932,0.83726851851852
26906400,311.41666666667,-0.00036576453346221,0.00043220792338036,-6.6443389918151e-05,-1.9809787347195e-06,2.6815837499163e-06,-7.0060501519679e-07,-16.274697900386,69.285099444287,3.9814143190272,0.8650462962963
27770400,321.41666666667,-0.00037497980797213,0.0004432431018811,-6.8263293908976e-05,-2.1239353121196e-06,2.8861161304637e-06,-7.6218081834418e-07,-16.263133527517,70.660238947357,4.0935323086981,0.89282407407407
28634400,331.41666666667,-0.00038412961914834,0.00045420746266944,-7.0077843521107e-05,-2.2736163698366e-06,3.1009957551345e-06,-8.2737938529798e-07,-16.251651176583,72.025524355803,4.2050030278237,0.92060185185185
29498400,341.41666666667,-0.00039321552091562,0.00046510237839272,-7.1886857477099e-05,-2.4301804475069e-06,3.3264903797629e-06,-8.9630993225599e-07,-16.240250080401,73.381042514998,4.3158504865873,0.94837962962963
30362400,351.41666666667,-0.00040223892683955,0.00047592908099049,-7.3690154150936e-05,-2.593785179853e-06,3.562866519053e-06,-9.6908133919998e-07,-16.228929551867,74.726876907288,4.426097174869,0.97615740740741
31226400,361.41666666667,-0.00041120113683478,0.00048668869324405,-7.5487556409261e-05,-2.7645872292157e-06,3.8103893143076e-06,-1.0458020850919e-06,-16.217688853519,76.063107923681,4.5357642718396,1.0039351851852
31233600,361.5,-0.00041120113683478,0.00048668869324405,-7.5487556409261e-05,-2.7645872292157e-06,3.8103893143076e-06,-1.0458020850919e-06,-10.204177310413,128.76380135174,64.287088737317,1.0041666666667
31240800,361.58333333333,-0.00041120113683478,0.00048668869324405,-7.5487556409261e-05,-2.7645872292157e-06,3.8103893143076e-06,-1.0458020850919e-06,-4.5048170296773,145.37975711298,88.105236964313,1.0043981481481
31248000,361.66666666667,-0.00041120113683478,0.00048668869324405,-7.5487556409261e-05,-2.7645872292157e-06,3.8103893143076e-06,-1.0458020850919e-06,0.64413903009124,93.901103419017,44.500599537313,1.0046296296296
31338000,362.70833333333,-0.00041120113683478,0.00048668869324405,-7.5487556409261e-05,-2.7645872292157e-06,3.8103893143076e-06,-1.0458020850919e-06,0.63704635768121,92.470166174326,44.026882002693,1.0075231481481
31341600,362.75,-0.00041120113683478,0.00048668869324405,-7.5487556409261e-05,-2.7645872292157e-06,3.8103893143076e-06,-1.0458020850919e-06,-4.5274379970798,141.48954552071,86.710656889393,1.0076388888889
31345200,362.79166666667,-0.00041120113683478,0.00048668869324405,-7.5487556409261e-05,-2.7645872292157e-06,3.8103893143076e-06,-1.0458020850919e-06,-10.242558468344,125.33676978197,63.26617242038,1.0077546296296
31348800,362.83333333333,-0.00041122785132945,0.00048672168142622,-7.5493830096774e-05,-2.7652424950066e-06,3.8113440367652e-06,-1.0461015417587e-06,-16.235524313714,73.557431423274,3.6083311725302,1.0078703703704
32212800,372.83333333333,-0.0004169872703249,0.00049392088748995,-7.6933617165052e-05,-2.9333474449732e-06,4.0572867733557e-06,-1.1239393283826e-06,-16.221556441131,75.601632363031,3.796469932236,1.0356481481481
33076800,382.83333333333,-0.00042596102597015,0.00050471561686907,-7.8754590898919e-05,-3.1174478650016e-06,4.3255267423738e-06,-1.2080788773722e-06,-16.197710054566,78.436758350953,4.7146680737763,1.0634259259259
33940800,392.83333333333,-0.00043486597751751,0.00051542883511029,-8.056285759278e-05,-3.3092310488669e-06,4.6057214433053e-06,-1.2964903944384e-06,-16.186616062613,79.755489546887,4.8259239157058,1.0912037037037
34804800,402.83333333333,-0.00044369001248058,0.00052604739777315,-8.2357385292576e-05,-3.5088053787768e-06,4.8980677433321e-06,-1.3892623645553e-06,-16.175661549937,81.057249826076,4.9343546477903,1.1189814814815
35668800,412.83333333333,-0.00045243958454114,0.00053657934964646,-8.4139765105322e-05,-3.7163203707713e-06,5.2028204271348e-06,-1.4865000563636e-06,-16.16478654814,82.349433219574,5.0421328779635,1.1467592592593
36532800,422.83333333333,-0.00046111986331247,0.00054703106585213,-8.5911202539654e-05,-3.9319247300885e-06,5.5202329026913e-06,-1.5883081726028e-06,-16.153989577379,83.632208222222,5.1493157851624,1.174537037037
37396800,432.83333333333,-0.00046973497087719,0.00055740757204158,-8.7672601164394e-05,-4.1557660134584e-06,5.8505566902405e-06,-1.694790676782e-06,-16.143269731089,84.905688450796,5.2559443074923,1.2023148148148
38260800,442.83333333333,-0.0004782882332693,0.00056771287179354,-8.9424638524235e-05,-4.3879905406491e-06,6.1940412744851e-06,-1.8060507338361e-06,-16.13262599898,86.169975929777,5.3620538455431,1.2300925925926
39124800,452.83333333333,-0.00048678236780319,0.00057795019051552,-9.1167822712336e-05,-4.6287433159413e-06,6.5509339698166e-06,-1.9221906538753e-06,-16.122057711623,87.425162991785,5.4676750799018,1.2578703703704
39988800,462.83333333333,-0.00049521962457556,0.00058812215938504,-9.2902534809481e-05,-4.8781679574096e-06,6.9214797967863e-06,-2.0433118393767e-06,-16.111564052165,88.671334544872,5.572835242882,1.2856481481481
40852800,472.83333333333,-0.00050360189330366,0.00059823095415277,-9.4629060849111e-05,-5.1364066347444e-06,7.3059213710296e-06,-2.1695147362852e-06,-16.101144362041,89.90856941735,5.6775585123444,1.3134259259259
41716800,482.83333333333,-0.00051193078557302,0.00060827840161065,-9.6347616037631e-05,-5.4036000168471e-06,7.7044988055814e-06,-2.3008987887343e-06,-16.09079801175,91.136942106318,5.7818669793291,1.3412037037037
42580800,492.83333333333,-0.0005202076945068,0.00061826605709487,-9.8058362588072e-05,-5.6798872136527e-06,8.1174496055443e-06,-2.4375623918916e-06,-16.080524366304,92.356522211707,5.8857806060078,1.3689814814815
43444800,502.83333333333,-0.00052843384376057,0.00062819526755826,-9.9761423797686e-05,-5.9654057363851e-06,8.5450085895624e-06,-2.5796028531772e-06,-16.070322841333,93.567376960459,5.9893180453698,1.3967592592593
44308800,512.83333333333,-0.00053661032252235,0.00063806721672195,-0.0001014568941996,-6.2602914502505e-06,8.9874078006207e-06,-2.7271163503702e-06,-16.060192891712,94.76957023525,6.0924965296767,1.424537037037
45172800,522.83333333333,-0.00054473811310954,0.00064788296049426,-0.00010314484738472,-6.5646785338723e-06,9.4448764270518e-06,-2.8801978931794e-06,-16.050133967383,95.963163526168,6.195332248506,1.4523148148148
46036800,532.83333333333,-0.00055281811316943,0.00065764345526669,-0.00010482534209725,-6.8786994466749e-06,9.9176407356173e-06,-3.0389412889424e-06,-16.04014554159,97.148216843401,6.2978406418955,1.4800925925926
46900800,542.83333333333,-0.00056085115129301,0.00066734957779688,-0.00010649842650387,-7.2024848912141e-06,1.0405923997733e-05,-3.2034391065186e-06,-16.030227161743,98.324787985463,6.4000362323774,1.5078703703704
46908000,542.91666666667,-0.00056085115129301,0.00066734957779688,-0.00010649842650387,-7.2024848912141e-06,1.0405923997733e-05,-3.2034391065186e-06,-10.01684166606,151.0289218109,66.156864361726,1.5081018518519
46915200,543,-0.00056085115129301,0.00066734957779688,-0.00010649842650387,-7.2024848912141e-06,1.0405923997733e-05,-3.2034391065186e-06,-4.3291307297664,167.60309334921,89.965751912704,1.5083333333333
46922400,543.08333333333,-0.00056085115129301,0.00066734957779688,-0.00010649842650387,-7.2024848912141e-06,1.0405923997733e-05,-3.2034391065186e-06,0.83163261319021,116.17369851998,46.379974665202,1.5085648148148
47012400,544.125,-0.00056085115129301,0.00066734957779688,-0.00010649842650387,-7.2024848912141e-06,1.0405923997733e-05,-3.2034391065186e-06,0.82464428836646,114.74420104139,45.906558112503,1.5114583333333
47016000,544.16666666667,-0.00056085115129301,0.00066734957779688,-0.00010649842650387,-7.2024848912141e-06,1.0405923997733e-05,-3.2034391065186e-06,-4.3399853772693,163.76245099728,88.586420259195,1.5115740740741
47019600,544.20833333333,-0.00056085115129301,0.00066734957779688,-0.00010649842650387,-7.2024848912141e-06,1.0405923997733e-05,-3.2034391065186e-06,-10.054933444026,147.60397403942,65.136232204785,1.5116898148148
47023200,544.25,-0.00056087493594816,0.00066737917056954,-0.00010650423462138,-7.2037472294108e-06,1.0407837674162e-05,-3.2040904447512e-06,-16.047992716244,95.817337915895,5.472103285195,1.5118055555556
47887200,554.25,-0.00056598915335856,0.00067382086038227,-0.0001078317070237,-7.5223700249846e-06,1.0892005082159e-05,-3.3696350571743e-06,-16.035172104915,97.731929918559,5.6577464329378,1.5395833333333
48751200,564.25,-0.000574042383899,0.0006835648573153,-0.0001095224734163,-7.863931264736e-06,1.1408661153474e-05,-3.5447298887383e-06,-16.012654071582,100.40763610044,6.5685953651084,1.5673611111111
49615200,574.25,-0.00058204304686017,0.00069324385022527,-0.00011120080336511,-8.2156867838978e-06,1.1941549768046e-05,-3.7258629841484e-06,-16.002859498324,101.56922085437,6.6728922626231,1.5951388888889
50479200,584.25,-0.00058997968017901,0.00070284536335377,-0.00011286568317476,-8.577697407569e-06,1.2490791653327e-05,-3.9130942457575e-06,-15.993192312025,102.71530258172,6.7747211574133,1.6229166666667
51343200,594.25,-0.00059785717788071,0.00071237569688526,-0.00011451851900454,-8.9500828640229e-06,1.3056592062876e-05,-4.1065091988531e-06,-15.983595165882,103.85288754524,6.876165706155,1.6506944444444
52207200,604.25,-0.00060567951217412,0.0007218399305571,-0.00011616041838298,-9.3329616203387e-06,1.3639153834012e-05,-4.3061922136737e-06,-15.974066875661,104.98211068854,6.9772702955519,1.6784722222222
53071200,614.25,-0.00061344988317181,0.00073124213151402,-0.0001177922483422,-9.7264504831215e-06,1.4238676789317e-05,-4.5122263061954e-06,-15.964606759179,106.10306074206,7.0780659893482,1.70625
53935200,624.25,-0.00062117089322344,0.00074058558412104,-0.0001194146908976,-1.0130664519703e-05,1.4855357615785e-05,-4.7246930960822e-06,-15.955214067316,107.21581715706,7.178579609153,1.7340277777778
54799200,634.25,-0.00062884468161219,0.00074987296736343,-0.00012102828575124,-1.0545717005434e-05,1.5489389781248e-05,-4.9436727758138e-06,-15.945888194934,108.32045312878,7.2788347235749,1.7618055555556
55663200,644.25,-0.00063647302709109,0.00075910648985423,-0.00012263346276314,-1.0971719373506e-05,1.6140963453984e-05,-5.1692440804776e-06,-15.936628532308,109.41703634889,7.3788522028788,1.7895833333333
56527200,654.25,-0.0006440574263223,0.00076828799312887,-0.00012423056680657,-1.1408781170498e-05,1.6810265430023e-05,-5.4014842595249e-06,-15.927434601744,110.50562973275,7.4786505638508,1.8173611111111
57391200,664.25,-0.00065159915495738,0.00077741903197258,-0.0001258198770152,-1.1857010021943e-05,1.7497479075483e-05,-5.6404690535395e-06,-15.91830582094,111.58629284244,7.578246618055,1.8451388888889
58255200,674.25,-0.000659099314632,0.00078650093623502,-0.00012740162160302,-1.2316511602677e-05,1.8202784274706e-05,-5.886272672029e-06,-15.909241737605,112.65908224241,7.6776556853925,1.8729166666667
59119200,684.25,-0.0006665588695361,0.00079553485886935,-0.00012897598933325,-1.2787389611233e-05,1.8926357385722e-05,-6.138967774489e-06,-15.900241885431,113.72405211618,7.7768917936059,1.9006944444444
59983200,694.25,-0.00067397867447022,0.00080452181278141,-0.0001305431383112,-1.3269745745871e-05,1.9668371196765e-05,-6.3986254508936e-06,-15.891305768759,114.78125449376,7.8759680302326,1.9284722222222
60847200,704.25,-0.00068135949743308,0.00081346270040752,-0.00013210320297445,-1.3763679689842e-05,2.0428994897575e-05,-6.6653152077325e-06,-15.882433020346,115.83073996868,7.9748965607531,1.95625
61711200,714.25,-0.00068870203626228,0.00082235833559266,-0.00013365629933038,-1.4269289090956e-05,2.1208394042483e-05,-6.9391049515275e-06,-15.873623146046,116.87255744547,8.0736888147669,1.9840277777778
62575200,724.25,-0.00069600693236925,0.00083120946150162,-0.00013520252913237,-1.4786669551034e-05,2.200673052722e-05,-7.2200609761862e-06,-15.864875831965,117.90675470788,8.1723556013701,2.0118055555556
62582400,724.33333333333,-0.00069600693236925,0.00083120946150162,-0.00013520252913237,-1.4786669551034e-05,2.200673052722e-05,-7.2200609761862e-06,-9.8530503960834,170.69119899146,67.958069457615,2.012037037037
62589600,724.41666666667,-0.00069600693236925,0.00083120946150162,-0.00013520252913237,-1.4786669551034e-05,2.200673052722e-05,-7.2200609761862e-06,-4.1642459996623,187.19300990889,91.748226450852,2.0122685185185
62596800,724.5,-0.00069600693236925,0.00083120946150162,-0.00013520252913237,-1.4786669551034e-05,2.200673052722e-05,-7.2200609761862e-06,0.99704139983992,135.76820402754,48.166919124882,2.0125
